event1 event2 CC dt_sec evla_eq1 evlo_eq1 evdp_eq1_km evla_eq2 evlo_eq1 evdp_eq2_km  
20041227093859 20150617074154 0.89   -0.07520   0.61  97.35  30.00   1.01  97.17  30.00
20041227093859 20161231150111 0.88    0.22020   0.61  97.35  30.00   1.01  97.17  30.00
20041227093859 20170130222527 0.85   -1.13480   0.61  97.35  30.00   1.01  97.17  30.00
20041227164458 20050101004727 0.89   -5.50970   1.01  97.17  30.00   1.01  97.17  30.00
20041227164458 20050102040116 0.89    2.09900   1.01  97.17  30.00   1.01  97.17  30.00
20041227164458 20050104151825 0.88   -2.00100   1.01  97.17  30.00   1.01  97.17  30.00
20041227164458 20050114225109 0.86   -1.41690   1.01  97.17  30.00   1.01  97.17  30.00
20041227164458 20050327060911 0.86    1.19260   1.01  97.17  30.00   1.01  97.17  30.00
20041227164458 20050704043436 0.86    2.29340   1.01  97.17  30.00   1.01  97.17  30.00
20041227164458 20050920145937 0.88    3.54420   1.01  97.17  30.00   1.01  97.17  30.00
20041227164458 20061012053020 0.86    2.11460   1.01  97.17  30.00   1.01  97.17  30.00
20041227164458 20090325082834 0.86   -8.69630   1.01  97.17  30.00   1.01  97.17  30.00
20041227164458 20100317094427 0.92    4.78470   1.01  97.17  30.00   1.01  97.17  30.00
20041227164458 20101023194237 0.92    4.09140   1.01  97.17  30.00   1.01  97.17  30.00
20041227164458 20110717013201 0.85   -4.35630   1.01  97.17  30.00   1.01  97.17  30.00
20041227164458 20130209024935 0.86   -0.66810   1.01  97.17  30.00   1.01  97.17  30.00
20041227164458 20131019014705 0.88    3.01680   1.01  97.17  30.00   1.01  97.17  30.00
20041227194626 20050127224816 0.95   -0.18880   1.01  97.17  30.00   1.01  97.17  30.00
20041227194626 20050523144524 0.96   -0.05480   1.01  97.17  30.00   1.01  97.17  30.00
20041227194626 20060915121510 0.95    0.35530   1.01  97.17  30.00   1.01  97.17  30.00
20041227194626 20090105144303 0.95    0.32770   1.01  97.17  30.00   1.01  97.17  30.00
20041227194626 20110824023825 0.95    0.07810   1.01  97.17  30.00   1.01  97.17  30.00
20041227202259 20050124061602 0.90    0.13870   1.01  97.17  30.00   1.01  97.17  30.00
20041228035257 20050116132754 0.85    0.59240   2.77  95.58  24.50   2.80  95.63  24.70
20041228111724 20041228143019 0.94    0.28980   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20041228210848 0.90   -2.88890   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20041229154956 0.88   -5.79130   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20041229185016 0.88   -7.17930   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20041229201440 0.86   -6.89580   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20041230010443 0.90   -5.07690   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20041230014255 0.90   -4.84490   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20041230034218 0.87   -9.26500   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20041230042733 0.86   -6.74770   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20041230112632 0.88   -4.86250   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20041231130953 0.90   -5.79850   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20050101040304 0.87   -5.25680   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20050102040116 0.85   -2.95830   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20050102193520 0.96   -7.33690   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20050104151825 0.91   -6.52570   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20050104190753 0.94   -3.64250   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20050105143424 0.86   -5.61610   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20050105145358 0.89   -6.79780   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20050106005619 0.88   -5.02860   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20050108221146 0.86   -5.62910   1.01  97.17  30.00   1.01  97.17  30.00
20041228111724 20050109030244 0.88   -4.38120   1.01  97.17  30.00   1.01  97.17  30.00
