event1 event2 CC dt_sec
20050329154830 20050330203504 0.97 0.5072
20050329154830 20050401030127 0.88 0.0956
20050329154830 20050401214821 0.96 -0.5655
20050329154830 20050406084419 0.96 -1.7189
20050329154830 20050415215613 0.93 -0.8975
20050329154830 20050425081849 0.87 -5.5010
20050329154830 20050427050205 0.98 -3.4159
20050329154830 20050508193649 0.85 -0.9380
20050329154830 20050522124103 0.96 -1.0708
20050329154830 20050622035104 0.96 -1.8848
20050329154830 20050815195631 0.96 -5.8304
20050329154830 20051020004745 0.94 -1.5643
20050329154830 20060126200440 0.97 -3.1461
20050329154830 20090411000330 0.96 -2.0898
20050329172047 20050418172918 0.85 -0.1717
20050329172047 20051108072341 0.90 -1.0961
20050329172047 20100424110830 0.90 -3.4001
20050329172714 20050403024328 0.87 -0.0565
20050329173332 20050403090428 0.85 -4.0544
20050329173332 20050406062020 0.88 -3.4370
20050329174013 20111118065751 0.92 -1.7389
20050329174235 20050404110536 0.87 -0.4577
20050329174235 20050417074810 0.93 -2.0999
20050329174235 20050501043615 0.88 -1.5588
20050329174235 20050804211025 0.89 -0.1174
20050329174235 20051112223839 0.90 -0.2620
20050329174235 20060610233736 0.88 -3.2487
20050329174235 20070218122611 0.92 -2.8910
20050329174235 20080518025959 0.91 -2.3876
20050329174235 20100713222103 0.90 -2.8084
20050329174235 20181211124737 0.89 -3.3293
20050329181723 20050419053258 0.95 -1.6802
20050329181723 20050505225728 0.91 -0.4833
20050329181723 20050521231547 0.95 -0.0923
20050329181723 20050620004857 0.89 -1.2761
20050329181723 20050721090925 0.85 0.8681
20050329181723 20050903120551 0.88 -1.0273
20050329181723 20051027105033 0.89 0.6349
20050329181723 20060212113116 0.91 -4.0280
20050329181723 20060825133010 0.90 -5.5448
20050329181723 20070118042653 0.85 -2.7300
20050329181723 20070731142644 0.89 -1.6500
20050329181723 20081230172822 0.92 -4.8505
20050329181723 20100629125443 0.90 -0.8763
20050329182826 20050330210414 0.87 0.8257
20050329182826 20050413135015 0.90 0.6562
20050329182826 20050425194633 0.85 -2.7560
20050329182826 20070514130136 0.85 2.1404
20050329184109 20050412234315 0.91 0.8746
20050329184109 20050529084635 0.92 -3.5926
20050329184109 20050928105038 0.90 -3.7946
20050329184109 20060804012334 0.93 -1.5962
20050329184109 20090406232335 0.92 -0.2006
20050329184109 20100324214212 0.93 -1.5885
20050329184109 20100613034729 0.93 -0.3420
20050329184109 20110328111854 0.93 -0.1332
20050329184109 20120206033853 0.90 0.9228
20050329184109 20140815204848 0.94 -1.4119
20050329184109 20170421012229 0.93 -0.0130
20050329185426 20051021043052 0.92 -0.6998
20050329185426 20100407215900 0.88 -1.2289
20050329185426 20100421063942 0.89 0.8925
20050329185426 20101011171531 0.91 -1.7655
20050329185426 20120128150753 0.89 -1.7498
20050329191322 20050407135923 0.93 2.5620
20050329191322 20050506020331 0.93 2.4161
20050329191322 20050813221938 0.92 1.2537
20050329191322 20060418230459 0.93 -3.5577
20050329191322 20061215052631 0.92 -3.0861
20050329191322 20090707004359 0.86 0.3405
20050329191322 20140705160022 0.92 -0.2984
20050329191322 20190607025905 0.91 -3.8724
20050329195501 20050404070442 0.88 1.2949
20050329195501 20050603021117 0.89 3.7466
20050329195501 20050823224708 0.90 0.7526
20050329195501 20060105180152 0.90 1.5649
20050329195501 20060519144338 0.88 2.6757
20050329195501 20061230015812 0.87 -1.4247
20050329195501 20080329093907 0.87 -2.2098
20050329195501 20100828011807 0.88 0.6249
20050329195501 20151018144913 0.86 0.8154
20050329210603 20050714155304 0.88 0.2683
20050329211707 20050402072158 0.95 2.1767
20050329211707 20050410061253 0.97 2.0162
20050329211707 20050423030130 0.96 1.3939
20050329211707 20050520053057 0.94 2.7115
20050329211707 20050708163103 0.95 1.8655
20050329211707 20051213160347 0.93 -0.6403
20050329211707 20060226113533 0.93 -1.3140
20050329211707 20060705090949 0.87 -0.2621
20050329211707 20080928143848 0.91 -0.4899
20050329211707 20091207160536 0.89 -0.6728
20050329220831 20050403235811 0.86 0.8386
20050329220831 20100127015728 0.91 0.4575
20050329223757 20050405124056 0.89 -0.2010
20050329232742 20050418004731 0.89 -0.7759
20050329232742 20050418010238 0.95 -1.5965
20050329232742 20050418012121 0.90 -4.6775
20050329232742 20050529034225 0.92 -4.0610
20050329232742 20050620103356 0.90 -3.5094
20050329232742 20051028051658 0.88 -3.3155
20050329232742 20080621152415 0.94 -3.5414
20050329232742 20081217050631 0.86 -1.0794
20050329232742 20110321193400 0.93 -3.0588
20050329232742 20110321193914 0.90 -2.8783
20050329232742 20130930204609 0.88 -3.7346
20050329232742 20191124231600 0.87 -3.2736
20050329232742 20191125092718 0.95 -3.8721
20050329233043 20051028172327 0.85 -3.8841
20050330003139 20070708092517 0.87 -5.1265
20050330004705 20050608113658 0.95 -0.2069
20050330004705 20080418105643 0.93 -0.7982
20050330004705 20100425210457 0.86 0.0564
20050330015822 20050504165535 0.86 -3.4442
20050330020611 20050419034021 0.88 -3.6118
20050330020611 20051223114241 0.85 0.5957
20050330020611 20071126151832 0.89 -5.3728
20050330023254 20050410162710 0.86 0.3712
20050330023254 20050506181911 0.89 -0.8687
20050330023254 20050619185957 0.89 -1.0084
20050330023254 20050809221041 0.86 0.4823
20050330023254 20060121050226 0.89 -5.9974
20050330023254 20120629092050 0.86 -2.5455
20050330030436 20050501145225 0.87 0.4560
20050330032527 20050406022111 0.88 0.1350
20050330032527 20050602051445 0.86 -0.2616
20050330032527 20191016073039 0.89 -1.3499
20050330032942 20050822040148 0.87 1.4496
20050330032942 20060113224726 0.86 -3.8353
