station,event1,event2,Δτl,Δτc,Δτr,ccl,ccc,ccr,Δτ
II.DGAR.00.BHZ,2005-05-02T12:03:15.56,2005-09-09T05:39:04.04,"[-0.8124490658621522, -0.6849430825401848]","[-0.3397546307230721, -0.34621090462862053]","[0.1402237160632217, -0.01185561381638451]","[0.5878596899035763, 0.44775194912391114]","[0.7136869182426777, 0.5409623873243274]","[0.5991049376085044, 0.48243142442057857]","[-0.3397546307230721, -0.34621090462862053]"
II.DGAR.00.BHZ,2005-05-02T17:55:18.74,2005-05-09T17:53:30.08,"[0.3141414453185957, 0.4410276221532647]","[0.8073215289793405, 0.765613267701033]","[1.3062109134622149, 1.0888994738067062]","[0.5618177504851073, 0.642916521681982]","[0.6931023933111989, 0.6503645330317094]","[0.52084037671535, 0.4329589419123466]","[0.8073215289793405, 0.765613267701033]"
II.DGAR.00.BHZ,2005-05-02T17:55:18.74,2005-06-07T17:36:51.55,"[0.42781658194942584, 0.594575454946971]","[0.9270299986664068, 0.9205965364806529]","[1.4225739304383378, 1.2451229803178825]","[0.5524133516435275, 0.5271589508987194]","[0.7028799492789588, 0.5993273462071481]","[0.5617670136693576, 0.38735388916190255]","[0.9270299986664068, 0.9205965364806529]"
II.DGAR.00.BHZ,2005-05-02T17:55:18.74,2008-08-20T02:38:25.66,"[-0.2702417747973234, -0.10300481080279197]","[0.23047616832905013, 0.22257817993263973]","[0.7296055873893004, 0.5424122508119149]","[0.5224396657587811, 0.5950798252446852]","[0.7231601911474392, 0.6709930050656213]","[0.6659739565747789, 0.5098028674851758]","[0.23047616832905013, 0.22257817993263973]"
II.DGAR.00.BHZ,2005-05-03T14:38:09.08,2005-11-24T00:10:10.93,"[-0.4223081308793463, -0.26954717460307254]","[0.039139664409684784, 0.06178982089215092]","[0.5078387846157306, 0.39595670563108604]","[0.2682238208945027, 0.4635843331178624]","[0.6240698654257377, 0.6430547813483646]","[0.5702954924306948, 0.5569677151274431]","[0.039139664409684784, 0.06178982089215092]"
II.DGAR.00.BHZ,2005-05-03T15:58:15.58,2005-07-13T09:29:54.36,"[-1.634140609098244, -1.4027231008218204]","[-1.1390041536124254, -1.0833859541988058]","[-0.65321982401175, -0.7543230699686637]","[0.5732054025382352, 0.3970414294742471]","[0.8793543435178127, 0.573327216827868]","[0.8061603742420658, 0.4318498518574139]","[-1.1390041536124254, -1.0833859541988058]"
II.DGAR.00.BHZ,2005-05-03T15:58:15.58,2005-08-16T14:53:33.12,"[-1.853371867323541, -1.682433010983945]","[-1.354881034610017, -1.3575829704672517]","[-0.8554062645031026, -1.0361381405900592]","[0.5803056762842235, 0.49314151895137043]","[0.8370261789812102, 0.5858948478389858]","[0.6979027575484897, 0.3963424907506944]","[-1.354881034610017, -1.3575829704672517]"
II.DGAR.00.BHZ,2005-05-03T15:58:15.58,2006-05-19T06:34:16.23,"[-1.2766098692118637, -1.1163073617958938]","[-0.786635342542214, -0.7883502084724943]","[-0.2935775905159316, -0.45649804227572804]","[0.7296543634056464, 0.49333895896922264]","[0.8985182564907612, 0.6340833326040033]","[0.6658398584143128, 0.4665503522229607]","[-0.786635342542214, -0.7883502084724943]"
II.DGAR.00.BHZ,2005-05-03T15:58:15.58,2008-04-06T18:35:06.67,"[-1.0889123945154155, -0.9396561754598969]","[-0.6027580569851139, -0.6154475543462016]","[-0.11971247588108302, -0.29328503369500775]","[0.6900888466227831, 0.6744972512942541]","[0.9299463750191007, 0.7736338983819516]","[0.7336694668306607, 0.47948058207326466]","[-0.6027580569851139, -0.6154475543462016]"
II.DGAR.00.BHZ,2005-05-03T15:58:15.58,2012-06-20T11:12:22.85,"[-2.0848080375868294, -1.9281603764077808]","[-1.5955389073293071, -1.601981546043543]","[-1.1093091792082181, -1.2806150791443036]","[0.6403320704582176, 0.5892812073967881]","[0.8468460571024063, 0.6679673478414261]","[0.6885262837430625, 0.4086581365571492]","[-1.5955389073293071, -1.601981546043543]"
