station,event1,event2,Δτl,Δτc,Δτr,ccl,ccc,ccr,Δτ
H08S2,2005-03-31T19:14:36.92,2005-04-10T09:51:01.05,"[-0.24624919703630968, -0.175731724257396]","[0.2008438313956603, 0.15331602151319967]","[0.6501940210832872, 0.47929787190495865]","[0.6925359717595688, 0.7002255909313592]","[0.9181019933332265, 0.6519494554041276]","[0.6758951213241658, 0.3484799888867826]","[0.2008438313956603, 0.15331602151319967]"
H08S2,2005-03-31T20:13:58.53,2005-04-10T10:19:35.07,"[-1.8996867881100665, -1.8064610143722535]","[-1.4499617786441226, -1.4852901814680102]","[-0.9945441797782959, -1.1712832981943844]","[0.7567425968430235, 0.6435689770480139]","[0.9311376045917749, 0.7372666960264904]","[0.5772786811873561, 0.433069699404833]","[-1.4499617786441226, -1.4852901814680102]"
H08S2,2005-03-31T20:13:58.53,2005-05-06T13:45:45.25,"[-2.56534621610539, -2.448031518162153]","[-2.1103904948217616, -2.1286000554624565]","[-1.6555615535149457, -1.8122647856138283]","[0.7081711490540568, 0.7596338906554172]","[0.9597930001977978, 0.9078841851510181]","[0.6795549109505771, 0.635994013741407]","[-2.1103904948217616, -2.1286000554624565]"
H08S2,2005-03-31T22:58:52.02,2005-12-20T13:34:36.79,"[3.657700329257506, 3.8028469615856473]","[4.115682996691632, 4.1123461261520475]","[4.572621797672567, 4.425940478957797]","[0.5747234804847938, 0.606322361120883]","[0.8684103848842247, 0.6919881709140402]","[0.6378126567078268, 0.4508557965207438]","[4.115682996691632, 4.1123461261520475]"
H08S2,2005-04-01T01:46:59.78,2005-09-02T01:11:12.33,"[-0.22016493767849005, -0.07400708792908736]","[0.2398703541838308, 0.24813240876600295]","[0.6932423501854716, 0.5753195370191427]","[0.5922192204692011, 0.6906936646180301]","[0.9427283774034221, 0.8201846878251571]","[0.6664387369489672, 0.5561046186491543]","[0.2398703541838308, 0.24813240876600295]"
H08S2,2005-04-01T01:55:10.42,2005-04-17T11:41:26.53,"[-2.27046200975466, -2.1502415010264824]","[-1.8200130213198866, -1.822278741129419]","[-1.3697947171698945, -1.4924566329502988]","[0.661743670163498, 0.517969614449138]","[0.9081526349681772, 0.7210355212103837]","[0.6164377618245288, 0.5448980018233681]","[-1.8200130213198866, -1.822278741129419]"
H08S2,2005-04-01T01:55:10.42,2005-10-15T07:44:03.87,"[-0.7780039569150506, -0.6796611387820984]","[-0.32539026334771004, -0.34772572155944886]","[0.12942585409258608, -0.019159158849473668]","[0.6911318055632264, 0.381987322515356]","[0.8419535549778735, 0.527158081309415]","[0.5562743109113476, 0.35746132331876457]","[-0.32539026334771004, -0.34772572155944886]"
H08S2,2005-04-01T07:09:59.58,2005-04-06T13:27:15.51,"[-0.43427380339167493, -0.30494883438674275]","[0.020718225036785023, 0.02947472256679943]","[0.46921735879876303, 0.37091921575142794]","[0.5622352929312366, 0.623745715134572]","[0.9333419207312831, 0.807035454843869]","[0.5897228450546445, 0.6242469157245334]","[0.020718225036785023, 0.02947472256679943]"
H08S2,2005-04-01T07:09:59.58,2005-04-13T11:05:52.02,"[-0.055140088427243245, 0.03590964142924381]","[0.3938598888720436, 0.38498294731936494]","[0.848706277104455, 0.7274561636329631]","[0.5405268120714573, 0.5457513410277862]","[0.8532643730274342, 0.7012198368577504]","[0.47871505283584787, 0.6077219283304938]","[0.3938598888720436, 0.38498294731936494]"
H08S2,2005-04-01T11:57:02.05,2005-04-12T11:53:06.67,"[1.333891114584881, 1.4125012046554857]","[1.7807512780068324, 1.7390324238217667]","[2.241828976902395, 2.053880167214156]","[0.7647757262090638, 0.6360832072990075]","[0.9125793261992236, 0.8082753400207481]","[0.5759575789532232, 0.7056303798340141]","[1.7807512780068324, 1.7390324238217667]"
