station,event1,event2,Δτl,Δτc,Δτr,ccl,ccc,ccr,Δτ
II.DGAR.00.BHZ,2005-04-02T16:50:46.94,2005-04-08T03:07:11.64,"[-0.999677523761708, -0.8611378971024228]","[-0.5476952669030789, -0.544198940955429]","[-0.0957389894348709, -0.22394210522104088]","[0.6600157899672694, 0.7545620737720625]","[0.8990133454238193, 0.9069292715011485]","[0.6642904993060281, 0.7651716582101278]","[-0.5476952669030789, -0.544198940955429]"
II.DGAR.00.BHZ,2005-04-02T17:40:48.14,2005-12-27T01:54:36.44,"[-2.0023404030237084, -1.8184279867514346]","[-1.5265624819693928, -1.492450083441114]","[-1.061843567176863, -1.1604450891986287]","[0.48861238258109985, 0.47953603681608903]","[0.7120020606867554, 0.6785249699527613]","[0.6456294141402784, 0.5615729296691893]","[-1.5265624819693928, -1.492450083441114]"
II.DGAR.00.BHZ,2005-04-02T17:40:48.14,2006-06-16T19:44:14.01,"[-1.4316819131407947, -1.3022288519122238]","[-0.9705299685147758, -0.9704999121894277]","[-0.5125869675431677, -0.6376568502240788]","[0.5658495933050196, 0.6339019834364061]","[0.7066980346258388, 0.8159412932439528]","[0.5833512040928247, 0.5990474011845757]","[-0.9705299685147758, -0.9704999121894277]"
II.DGAR.00.BHZ,2005-04-02T17:40:48.14,2008-04-10T03:14:29.99,"[-1.6634022594211666, -1.5590798535159587]","[-1.2024055233423039, -1.2293302744969095]","[-0.7415569369277821, -0.8963262846573975]","[0.6811861877779376, 0.6629630756986052]","[0.7303262896070469, 0.776019356919283]","[0.5487081836043449, 0.5455845479461051]","[-1.2024055233423039, -1.2293302744969095]"
II.DGAR.00.BHZ,2005-04-02T17:40:48.14,2010-01-16T01:39:19.59,"[-2.0864069439392776, -1.9401991888802916]","[-1.6218973019360652, -1.6016037829789527]","[-1.167047249256, -1.2649795435644466]","[0.5135653085317021, 0.535526522658087]","[0.7287525622578657, 0.7700664704199198]","[0.6168413760659558, 0.6606174885907676]","[-1.6218973019360652, -1.6016037829789527]"
II.DGAR.00.BHZ,2005-04-02T17:40:48.14,2010-10-10T14:56:30.01,"[-1.7011068645620133, -1.5592441843663662]","[-1.2405227039716797, -1.2241873433573254]","[-0.7796573164093725, -0.8846959204571073]","[0.48823713640324173, 0.43335102544390386]","[0.6679626228485058, 0.5538837505084255]","[0.597798384664122, 0.38235823375545]","[-1.2405227039716797, -1.2241873433573254]"
II.DGAR.00.BHZ,2005-04-02T17:40:48.14,2011-07-21T00:50:56.74,"[-1.5562890111125054, -1.377211274087397]","[-1.089223930199952, -1.0474893080128773]","[-0.6337517302565405, -0.7114888388057995]","[0.45165278590695296, 0.415002980886616]","[0.6723613294695658, 0.6459252977081189]","[0.6401366936291756, 0.5210435166692124]","[-1.089223930199952, -1.0474893080128773]"
II.DGAR.00.BHZ,2005-04-02T17:40:48.14,2012-08-07T02:26:28.13,"[-1.5124055605104862, -1.3951812517467477]","[-1.0477974742694194, -1.0567935430535282]","[-0.5855113044250813, -0.716015201847051]","[0.5448460390914238, 0.5701279724111328]","[0.7143377795729755, 0.7489884262006853]","[0.48709328833756477, 0.5734854716364821]","[-1.0477974742694194, -1.0567935430535282]"
II.DGAR.00.BHZ,2005-04-02T20:30:55.36,2005-04-21T00:13:52.24,"[-0.7697152080415756, -0.6296059219797375]","[-0.3147052082052321, -0.3030970166693509]","[0.1391907107251946, 0.029689275256714387]","[0.4993143336104283, 0.44747701024256464]","[0.6404158490728002, 0.664450438958449]","[0.47303756710831685, 0.5333241989952784]","[-0.3147052082052321, -0.3030970166693509]"
II.DGAR.00.BHZ,2005-04-02T20:30:55.36,2005-06-07T16:29:35.13,"[-1.4189072645382697, -1.2858522445162845]","[-0.9594864081224156, -0.9610805905551033]","[-0.5022473202039166, -0.6294418530485716]","[0.4231672084041182, 0.5381099093305565]","[0.6482790686706827, 0.74996637517276]","[0.42578960751345263, 0.5316290988609732]","[-0.9594864081224156, -0.9610805905551033]"
II.DGAR.00.BHZ,2005-04-02T21:31:48.54,2005-04-09T08:40:56.93,"[-2.2400872641848957, -2.121594468001808]","[-1.7549033936705913, -1.7855798771532438]","[-1.267826364871309, -1.460005555737331]","[0.6779275242516147, 0.4861765408621303]","[0.8104241832700579, 0.6518316737372803]","[0.6363586726802768, 0.3813086626882355]","[-1.7549033936705913, -1.7855798771532438]"
II.DGAR.00.BHZ,2005-04-03T00:51:56.13,2005-04-15T01:00:51.56,"[-2.189018553811654, -2.0356887787545515]","[-1.6903618969963046, -1.7063099981311056]","[-1.1903737228499722, -1.3801376357238528]","[0.7247033958630941, 0.44447726903649554]","[0.8744311554712026, 0.5456146720483762]","[0.7657405233873372, 0.3377849918142948]","[-1.6903618969963046, -1.7063099981311056]"
II.DGAR.00.BHZ,2005-04-03T00:51:56.13,2005-04-30T12:18:04.32,"[-0.8351491937737399, -0.6655923793274896]","[-0.33840795873271085, -0.33662431060724823]","[0.15592661615992165, -0.005594101176333117]","[0.6711588654827894, 0.6373917702725536]","[0.8119335172436082, 0.7745548942703983]","[0.7066445064794911, 0.5359080244693218]","[-0.33840795873271085, -0.33662431060724823]"
II.DGAR.00.BHZ,2005-04-03T00:51:56.13,2005-06-30T07:26:13.64,"[0.5176724262395449, 0.6886753495772976]","[1.0151404224596154, 1.0172547048726197]","[1.5181598008856754, 1.3472654517261136]","[0.6667202105868079, 0.5521006015845522]","[0.8170385259518472, 0.6619778106539844]","[0.6496103336376025, 0.5490808026377777]","[1.0151404224596154, 1.0172547048726197]"
II.DGAR.00.BHZ,2005-04-03T06:55:56.93,2005-08-23T21:52:41.68,"[0.22909747482082912, 0.362909949647169]","[0.6797524776340093, 0.6884824746900347]","[1.1356009684568693, 1.0100240077933433]","[0.48194345998693694, 0.4056026412666927]","[0.7406347218861529, 0.7100423555086753]","[0.6105929737848589, 0.5116595802527056]","[0.6797524776340093, 0.6884824746900347]"
