time,latitude,longitude
2008-06-26T16:06:32.80,38.76,140.77
2008-06-26T22:51:31.40,38.86,140.7
2008-06-27T05:33:34.14,38.7521,140.7942
2008-06-27T07:23:47.32,38.734,140.788
2008-06-27T11:41:50,38.99,140.86
2008-06-27T13:24:46.28,38.7242,140.7851
2008-06-27T14:19:15.61,38.7386,140.7929
2008-06-28T13:11:58.30,38.92,140.9
2008-06-29T12:50:14.20,38.99,140.86
2008-06-30T05:13:54.10,39.08,140.94
2008-06-30T13:25:55.20,39.07,140.96
2008-06-30T22:14:16.80,39.09,140.86
2008-07-01T02:36:58.67,39.1098,140.9642
2008-07-01T10:15:57.10,38.76,140.77
2008-07-02T02:36:57.70,39.08,140.97
2008-07-04T04:02:14.20,39.06,140.61
2008-07-05T04:14:36.65,39.1156,140.9988
2008-07-05T05:18:38.40,39.12,140.93
2008-07-06T02:54:07.50,39.04,140.89
2008-07-07T06:14:17.35,39.0267,140.9085
2008-07-07T18:45:19.47,38.7521,140.8033
2008-07-08T12:53:42.40,39.11,140.85
2008-07-11T20:54:51.20,39.1,140.93
2008-07-13T01:26:06.90,38.99,140.86
2008-07-14T14:56:41.48,39.1078,140.8849
2008-07-18T06:41:14,38.9,140.88
2008-07-19T03:03:19.20,37.45,142.61
2008-07-19T03:21:05.96,37.5445,142.4257
2008-07-19T04:07:07.90,37.47,142.78
2008-07-19T04:09:33.01,39.0949,140.8794
2008-07-19T06:50:36.20,37.55,142.64
2008-07-19T08:24:46.70,37.55,142.65
2008-07-19T16:09:20.60,37.43,142.81
2008-07-19T18:32:13.60,37.48,142.73
2008-07-19T18:59:00.30,39.0585,140.8413
2008-07-20T01:36:32.15,37.3452,142.5722
2008-07-21T04:33:59.44,37.6448,142.335
2008-07-21T04:50:11.33,37.3039,141.7718
2008-07-21T04:52:15.70,37.32,141.72
2008-07-21T23:29:02.13,37.1581,142.3133
2008-07-22T06:56:56.41,37.6781,142.4231
2008-07-22T09:02:20.60,37.58,142.73
2008-07-22T09:06:17.20,37.72,142.31
2008-07-22T09:19:05,37.7,142.35
2008-07-22T09:19:56.50,37.71,142.3
2008-07-22T14:58:46.66,36.9358,142.7964
2008-07-22T15:19:48.50,37.67,142.2
2008-07-22T16:28:06.93,37.448,142.8941
2008-07-22T22:06:32.50,37.42,142.87
2008-07-23T05:45:19.40,38.94,140.9
2008-07-23T22:10:51.27,37.5339,143.2194
2008-07-24T20:48:00.43,38.9821,140.8117
2008-07-25T16:39:01.90,37.55,142.86
2008-07-28T02:59:27.20,37.67,142.29
2008-07-28T15:55:15.68,38.9369,140.9175
2008-07-29T14:09:37,39.2,140.99
2008-07-29T23:15:53.37,39.0518,140.8789
2008-07-30T01:15:02.24,38.8152,140.8475
2008-07-30T05:54:35.90,37.41,141.79
2008-07-31T05:31:53.28,39.2,142.3519
2008-08-05T02:07:32.90,38.78,140.8
2008-08-07T12:29:30.10,37.45,143.1528
2008-08-16T02:50:54.10,37.53,142.67
2008-08-19T00:38:48,38.95,140.9
2008-08-19T12:55:21.70,39.1,140.89
2008-08-22T09:31:55.90,39.65,143.66
2008-08-24T07:10:57.30,39.11,140.94
2008-08-24T20:00:20.90,39.07,140.92
2008-08-25T04:15:09.10,39.11,140.94
2008-08-29T19:54:46.15,37.756,142.3232
2008-08-31T05:04:21.38,39.2082,142.8441
2008-09-02T09:35:13.04,39.1398,140.8897
2008-09-06T23:58:55.35,39.0456,140.8821
2008-09-12T18:18:05.60,39.12,140.86
2008-09-14T10:10:20.72,39.049,140.8722
2008-09-16T16:08:15.90,39.1,140.94
2008-09-21T09:11:32.28,38.7822,140.8041
2008-09-21T23:49:11.20,37.74,141.82
2008-09-23T10:29:38.50,39.13,140.89
2008-09-25T06:04:57.52,38.8408,140.8764
2008-10-01T13:01:54,39.04,140.86
2008-10-01T21:05:31.50,39.08,140.9
2008-10-07T19:06:17,39.02,140.83
2008-10-10T10:17:15.20,39.19,140.91
2008-10-12T10:22:46.70,39.06,140.84
2008-10-14T07:49:15.30,38.68,142.16
2008-10-20T00:29:21.56,39.3875,143.5736
2008-10-20T03:33:17.16,39.3708,143.4985
2008-10-21T13:38:21,38.06,142.64
2008-10-23T19:10:47.00,37.4573,141.6838
2008-10-25T15:32:34.55,38.757,140.813
2008-10-25T19:11:09.10,39.31,143.51
2008-10-25T21:35:34.72,38.5958,142.0632
